2026-04-02 13:05:53.877 [main] INFO  com.example.DiningManageApplication-Starting DiningManageApplication using Java 17.0.12 with PID 11128 (D:\work-develop-app\java\Web_AI_02\dining_manager\dining_manage\target\classes started by Administrator in D:\work-develop-app\java\Web_AI_02\dining_manager\dining_manage)
2026-04-02 13:05:53.878 [main] INFO  com.example.DiningManageApplication-No active profile set, falling back to 1 default profile: "default"
2026-04-02 13:05:54.840 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2026-04-02 13:05:54.849 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2026-04-02 13:05:54.850 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-04-02 13:05:54.850 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-04-02 13:05:54.886 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2026-04-02 13:05:54.886 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 983 ms
2026-04-02 13:05:55.715 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver-Exposing 1 endpoint beneath base path '/actuator'
2026-04-02 13:05:55.759 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2026-04-02 13:05:55.765 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2026-04-02 13:05:55.776 [main] INFO  com.example.DiningManageApplication-Started DiningManageApplication in 2.17 seconds (process running for 2.736)
2026-04-02 13:05:56.010 [RMI TCP Connection(3)-10.179.151.207] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-02 13:05:56.011 [RMI TCP Connection(3)-10.179.151.207] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-04-02 13:05:56.011 [RMI TCP Connection(3)-10.179.151.207] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 0 ms
2026-04-02 13:05:56.011 [RMI TCP Connection(2)-10.179.151.207] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2026-04-02 13:05:56.187 [RMI TCP Connection(2)-10.179.151.207] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3e876102
2026-04-02 13:05:56.189 [RMI TCP Connection(2)-10.179.151.207] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2026-04-02 13:06:05.160 [http-nio-8080-exec-1] INFO  com.example.Filter.TokenFilter-登录请求,放行
2026-04-02 13:06:05.413 [http-nio-8080-exec-1] INFO  com.example.Utils.JwtUtils-令牌生成时间：Thu Apr 02 13:06:05 CST 2026，过期时间：Fri Apr 03 01:06:05 CST 2026
2026-04-02 13:06:10.158 [http-nio-8080-exec-2] INFO  com.example.Filter.TokenFilter-当前员工id为:1
2026-04-02 13:06:10.158 [http-nio-8080-exec-2] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-04-02 13:06:10.158 [http-nio-8080-exec-2] INFO  com.example.Controller.ChuanController-查询所有川菜
2026-04-02 13:06:10.158 [http-nio-8080-exec-2] INFO  com.example.Service.impl.ChuanServiceImpl-查询所有川菜ChuanServiceImpl
2026-04-02 13:06:14.290 [http-nio-8080-exec-4] INFO  com.example.Filter.TokenFilter-当前员工id为:1
2026-04-02 13:06:14.290 [http-nio-8080-exec-4] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-04-02 13:06:14.290 [http-nio-8080-exec-4] INFO  com.example.Controller.XiangController-查询所有湘菜
2026-04-02 13:06:14.290 [http-nio-8080-exec-4] INFO  com.example.Service.impl.XiangServiceImpl-查询所有川菜XiangServiceImpl
2026-04-02 13:06:14.939 [http-nio-8080-exec-6] INFO  com.example.Filter.TokenFilter-当前员工id为:1
2026-04-02 13:06:14.939 [http-nio-8080-exec-6] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-04-02 13:06:14.941 [http-nio-8080-exec-6] INFO  com.example.Controller.LuController-查询所有鲁菜
