2026-04-09 13:22:42.876 [main] INFO  com.example.DiningManageApplication-Starting DiningManageApplication using Java 17.0.12 with PID 18848 (D:\work-develop-app\java\Web_AI_02\dining_manager\dining_manage\target\classes started by Administrator in D:\work-develop-app\java\Web_AI_02\dining_manager\dining_manage)
2026-04-09 13:22:42.877 [main] INFO  com.example.DiningManageApplication-No active profile set, falling back to 1 default profile: "default"
2026-04-09 13:22:43.799 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2026-04-09 13:22:43.807 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2026-04-09 13:22:43.807 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-04-09 13:22:43.807 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-04-09 13:22:43.842 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2026-04-09 13:22:43.842 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 940 ms
2026-04-09 13:22:44.672 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver-Exposing 1 endpoint beneath base path '/actuator'
2026-04-09 13:22:44.702 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2026-04-09 13:22:44.707 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2026-04-09 13:22:44.718 [main] INFO  com.example.DiningManageApplication-Started DiningManageApplication in 2.094 seconds (process running for 2.645)
2026-04-09 13:22:45.082 [RMI TCP Connection(3)-10.179.151.206] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-09 13:22:45.082 [RMI TCP Connection(3)-10.179.151.206] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-04-09 13:22:45.083 [RMI TCP Connection(3)-10.179.151.206] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2026-04-09 13:22:45.084 [RMI TCP Connection(2)-10.179.151.206] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2026-04-09 13:22:45.243 [RMI TCP Connection(2)-10.179.151.206] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5318a33a
2026-04-09 13:22:45.245 [RMI TCP Connection(2)-10.179.151.206] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2026-04-09 13:23:10.772 [http-nio-8080-exec-1] INFO  com.example.Filter.TokenFilter-登录请求,放行
2026-04-09 13:23:11.117 [http-nio-8080-exec-1] INFO  com.example.Utils.JwtUtils-令牌生成时间：Thu Apr 09 13:23:11 CST 2026，过期时间：Fri Apr 10 01:23:11 CST 2026
2026-04-09 13:23:12.612 [http-nio-8080-exec-2] INFO  com.example.Filter.TokenFilter-当前员工id为:3
2026-04-09 13:23:12.612 [http-nio-8080-exec-2] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-04-09 13:23:12.618 [http-nio-8080-exec-2] INFO  com.example.Controller.ChuanController-查询所有川菜
2026-04-09 13:23:12.618 [http-nio-8080-exec-2] INFO  com.example.Service.impl.ChuanServiceImpl-查询所有川菜ChuanServiceImpl
2026-04-09 13:23:16.176 [http-nio-8080-exec-3] INFO  com.example.Filter.TokenFilter-当前员工id为:3
2026-04-09 13:23:16.176 [http-nio-8080-exec-3] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-04-09 13:23:16.176 [http-nio-8080-exec-3] INFO  com.example.Controller.XiangController-查询所有湘菜
2026-04-09 13:23:16.176 [http-nio-8080-exec-3] INFO  com.example.Service.impl.XiangServiceImpl-查询所有川菜XiangServiceImpl
2026-04-09 13:23:16.669 [http-nio-8080-exec-4] INFO  com.example.Filter.TokenFilter-当前员工id为:3
2026-04-09 13:23:16.670 [http-nio-8080-exec-4] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-04-09 13:23:16.671 [http-nio-8080-exec-4] INFO  com.example.Controller.LuController-查询所有鲁菜
2026-04-09 13:23:16.671 [http-nio-8080-exec-4] INFO  com.example.Service.impl.LuServiceImpl-查询所有鲁菜LuServiceImpl
2026-04-09 13:23:17.661 [http-nio-8080-exec-5] INFO  com.example.Filter.TokenFilter-当前员工id为:3
2026-04-09 13:23:17.661 [http-nio-8080-exec-5] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-04-09 13:23:17.662 [http-nio-8080-exec-5] INFO  com.example.Controller.ZhuController-查询所有主食
