2026-03-31 00:14:25.720 [main] INFO  com.example.DiningManageApplication-Starting DiningManageApplication using Java 17.0.12 with PID 22464 (D:\work-develop-app\java\Web_AI_02\dining_manager\dining_manage\target\classes started by Administrator in D:\work-develop-app\java\Web_AI_02\dining_manager\dining_manage)
2026-03-31 00:14:25.721 [main] INFO  com.example.DiningManageApplication-No active profile set, falling back to 1 default profile: "default"
2026-03-31 00:14:26.707 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2026-03-31 00:14:26.719 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2026-03-31 00:14:26.720 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2026-03-31 00:14:26.721 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-03-31 00:14:26.764 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2026-03-31 00:14:26.764 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1017 ms
2026-03-31 00:14:27.636 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver-Exposing 1 endpoint beneath base path '/actuator'
2026-03-31 00:14:27.666 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2026-03-31 00:14:27.673 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2026-03-31 00:14:27.683 [main] INFO  com.example.DiningManageApplication-Started DiningManageApplication in 2.206 seconds (process running for 2.814)
2026-03-31 00:14:27.889 [RMI TCP Connection(2)-10.179.151.207] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-31 00:14:27.890 [RMI TCP Connection(2)-10.179.151.207] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2026-03-31 00:14:27.889 [RMI TCP Connection(3)-10.179.151.207] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2026-03-31 00:14:27.890 [RMI TCP Connection(2)-10.179.151.207] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 0 ms
2026-03-31 00:14:28.065 [RMI TCP Connection(3)-10.179.151.207] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@63a2ec3c
2026-03-31 00:14:28.066 [RMI TCP Connection(3)-10.179.151.207] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2026-03-31 00:14:34.946 [http-nio-8080-exec-1] INFO  com.example.Filter.TokenFilter-登录请求,放行
2026-03-31 00:14:35.213 [http-nio-8080-exec-1] INFO  com.example.Utils.JwtUtils-令牌生成时间：Tue Mar 31 00:14:35 CST 2026，过期时间：Tue Mar 31 12:14:35 CST 2026
2026-03-31 00:14:39.244 [http-nio-8080-exec-2] INFO  com.example.Filter.TokenFilter-当前员工id为:1
2026-03-31 00:14:39.244 [http-nio-8080-exec-2] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-03-31 00:14:39.247 [http-nio-8080-exec-2] INFO  com.example.Controller.ChuanController-查询所有川菜
2026-03-31 00:14:39.247 [http-nio-8080-exec-2] INFO  com.example.Service.impl.ChuanServiceImpl-查询所有川菜ChuanServiceImpl
2026-03-31 00:14:43.740 [http-nio-8080-exec-3] INFO  com.example.Filter.TokenFilter-当前员工id为:1
2026-03-31 00:14:43.740 [http-nio-8080-exec-3] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-03-31 00:14:43.741 [http-nio-8080-exec-3] INFO  com.example.Controller.XiangController-查询所有湘菜
2026-03-31 00:14:43.741 [http-nio-8080-exec-3] INFO  com.example.Service.impl.XiangServiceImpl-查询所有川菜XiangServiceImpl
2026-03-31 00:14:45.127 [http-nio-8080-exec-4] INFO  com.example.Filter.TokenFilter-当前员工id为:1
2026-03-31 00:14:45.127 [http-nio-8080-exec-4] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-03-31 00:14:45.132 [http-nio-8080-exec-4] INFO  com.example.Controller.LuController-查询所有鲁菜
2026-03-31 00:14:45.133 [http-nio-8080-exec-4] INFO  com.example.Service.impl.LuServiceImpl-查询所有鲁菜LuServiceImpl
2026-03-31 00:14:45.776 [http-nio-8080-exec-5] INFO  com.example.Filter.TokenFilter-当前员工id为:1
2026-03-31 00:14:45.776 [http-nio-8080-exec-5] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-03-31 00:14:45.777 [http-nio-8080-exec-5] INFO  com.example.Controller.ZhuController-查询所有主食
2026-03-31 00:14:45.777 [http-nio-8080-exec-5] INFO  com.example.Service.impl.ZhuServiceImpl-查询所有主食ZhuServiceImpl
2026-03-31 00:14:47.732 [http-nio-8080-exec-7] INFO  com.example.Filter.TokenFilter-当前员工id为:1
2026-03-31 00:14:47.732 [http-nio-8080-exec-7] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-03-31 00:14:47.733 [http-nio-8080-exec-7] INFO  com.example.Controller.ChuanController-查询所有川菜
2026-03-31 00:14:47.733 [http-nio-8080-exec-7] INFO  com.example.Service.impl.ChuanServiceImpl-查询所有川菜ChuanServiceImpl
2026-03-31 00:14:49.383 [http-nio-8080-exec-8] INFO  com.example.Filter.TokenFilter-当前员工id为:1
2026-03-31 00:14:49.384 [http-nio-8080-exec-8] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-03-31 00:14:49.384 [http-nio-8080-exec-8] INFO  com.example.Controller.XiangController-查询所有湘菜
2026-03-31 00:14:49.385 [http-nio-8080-exec-8] INFO  com.example.Service.impl.XiangServiceImpl-查询所有川菜XiangServiceImpl
2026-03-31 00:14:50.342 [http-nio-8080-exec-9] INFO  com.example.Filter.TokenFilter-当前员工id为:1
2026-03-31 00:14:50.343 [http-nio-8080-exec-9] INFO  com.example.Filter.TokenFilter-令牌验证成功
2026-03-31 00:14:50.344 [http-nio-8080-exec-9] INFO  com.example.Controller.LuController-查询所有鲁菜
2026-03-31 00:14:50.344 [http-nio-8080-exec-9] INFO  com.example.Service.impl.LuServiceImpl-查询所有鲁菜LuServiceImpl
2026-03-31 00:14:50.927 [http-nio-8080-exec-10] INFO  com.example.Filter.TokenFilter-当前员工id为:1
2026-03-31 00:14:50.928 [http-nio-8080-exec-10] INFO  com.example.Filter.TokenFilter-令牌验证成功
